Logfile Name,No. of Lines,,,,,,,,,
AL19000105-changes.log,10,,,,,,,,,
AL19000112-changes.log,32,,,,Bins,,,,Bins,Frequency
AL19000209-changes.log,46,,,,20,,,,1 -20,68
AL19000302-changes.log,6,,,,40,,,,21-40,44
AL19000309-changes.log,17,,,,60,,,,41-60,30
AL19000316-changes.log,42,,,,80,,,,61-80,15
AL19000323-changes.log,41,,,,100,,,,81-100,13
AL19000330-changes.log,33,,,,120,,,,101-120,10
AL19000406-changes.log,18,,,,140,,,,121-140,4
AL19000413-changes.log,95,,,,160,,,,141-160,2
AL19000420-changes.log,47,,,,180,,,,161-180,1
AL19000427-changes.log,37,,,,200,,,,181-200,2
AL19000504-changes.log,30,,,,,,,,More,1
AL19000511-changes.log,137,,,,,,,,,
AL19000518-changes.log,11,,,,,,,,,
AL19000525-changes.log,26,,,,,,,,,
AL19000601-changes.log,34,,,,,,,,,
AL19000608-changes.log,23,,,,,,,,,
AL19000615-changes.log,75,,,,,,,,,
AL19000622-changes.log,69,,,,,,,,,
AL19000629-changes.log,33,,,,,,,,,
AL19001019-changes.log,47,,,,,,,,,
AL19001207-changes.log,87,,,,,,,,,
AL19001221-changes.log,96,,,,,,,,,
AL19010104-changes.log,10,,,,,,,,,
AL19010111-changes.log,62,,,,,,,,,
AL19010125-changes.log,113,,,,,,,,,
AL19010215-changes.log,1,,,,,,,,,
AL19010308-changes.log,192,,,,,,,,,
AL19010705-changes.log,31,,,,,,,,,
AL19010712-changes.log,2,,,,,,,,,
AL19010719-changes.log,14,,,,,,,,,
AL19010726-changes.log,40,,,,,,,,,
AL19010809-changes.log,10,,,,,,,,,
AL19010906-changes.log,14,,,,,,,,,
AL19010913-changes.log,93,,,,,,,,,
AL19011018-changes.log,477,,,,,,,,,
AL19011206-changes.log,104,,,,,,,,,
AL19011213-changes.log,24,,,,,,,,,
AL19011220-changes.log,18,,,,,,,,,
AL19011227-changes.log,55,,,,,,,,,
AL19020117-changes.log,45,,,,,,,,,
AL19020207-changes.log,51,,,,,,,,,
AL19020214-changes.log,25,,,,,,,,,
AL19020221-changes.log,23,,,,,,,,,
AL19020314-changes.log,25,,,,,,,,,
AL19020328-changes.log,136,,,,,,,,,
AL19020418-changes.log,8,,,,,,,,,
AL19020425-changes.log,98,,,,,,,,,
AL19020509-changes.log,8,,,,,,,,,
AL19020627-changes.log,145,,,,,,,,,
AL19020711-changes.log,19,,,,,,,,,
AL19020829-changes.log,26,,,,,,,,,
AL19021010-changes.log,39,,,,,,,,,
AL19021024-changes.log,77,,,,,,,,,
AL19021031-changes.log,47,,,,,,,,,
AL19021114-changes.log,37,,,,,,,,,
AL19021121-changes.log,62,,,,,,,,,
AL19030206-changes.log,56,,,,,,,,,
AL19030313-changes.log,32,,,,,,,,,
AL19030410-changes.log,24,,,,,,,,,
AL19030417-changes.log,115,,,,,,,,,
AL19030501-changes.log,50,,,,,,,,,
AL19030508-changes.log,97,,,,,,,,,
AL19030515-changes.log,43,,,,,,,,,
AL19030612-changes.log,25,,,,,,,,,
AL19030619-changes.log,79,,,,,,,,,
AL19030710-changes.log,37,,,,,,,,,
AL19030717-changes.log,92,,,,,,,,,
AL19030724-changes.log,75,,,,,,,,,
AL19030731-changes.log,6,,,,,,,,,
AL19030828-changes.log,38,,,,,,,,,
AL19030925-changes.log,1,,,,,,,,,
AL19031009-changes.log,55,,,,,,,,,
AL19031106-changes.log,11,,,,,,,,,
AL19031120-changes.log,110,,,,,,,,,
AL19031127-changes.log,49,,,,,,,,,
AL19031218-changes.log,13,,,,,,,,,
AL19031225-changes.log,134,,,,,,,,,
AL19040108-changes.log,3,,,,,,,,,
AL19040129-changes.log,43,,,,,,,,,
AL19040212-changes.log,1,,,,,,,,,
AL19040311-changes.log,2,,,,,,,,,
AL19040318-changes.log,19,,,,,,,,,
AL19040325-changes.log,52,,,,,,,,,
AL19040401-changes.log,96,,,,,,,,,
AL19040513-changes.log,54,,,,,,,,,
AL19040520-changes.log,18,,,,,,,,,
AL19040610-changes.log,55,,,,,,,,,
AL19040624-changes.log,86,,,,,,,,,
AL19040701-changes.log,8,,,,,,,,,
AL19040708-changes.log,20,,,,,,,,,
AL19040715-changes.log,38,,,,,,,,,
AL19040819-changes.log,28,,,,,,,,,
AL19040826-changes.log,97,,,,,,,,,
AL19040902-changes.log,170,,,,,,,,,
AL19040923-changes.log,40,,,,,,,,,
AL19040930-changes.log,26,,,,,,,,,
AL19041111-changes.log,36,,,,,,,,,
AL19041209-changes.log,21,,,,,,,,,
AL19041230-changes.log,90,,,,,,,,,
AL19050113-changes.log,31,,,,,,,,,
AL19050127-changes.log,49,,,,,,,,,
AL19050217-changes.log,56,,,,,,,,,
AL19050224-changes.log,52,,,,,,,,,
AL19050526-changes.log,10,,,,,,,,,
AL19050616-changes.log,28,,,,,,,,,
AL19050929-changes.log,2,,,,,,,,,
AL19051110-changes.log,8,,,,,,,,,
AL19051201-changes.log,17,,,,,,,,,
AL19060202-changes.log,6,,,,,,,,,
AL19060302-changes.log,9,,,,,,,,,
AL19060427-changes.log,9,,,,,,,,,
AL19060622-changes.log,13,,,,,,,,,
AL19060706-changes.log,73,,,,,,,,,
AL19060713-changes.log,10,,,,,,,,,
AL19060720-changes.log,108,,,,,,,,,
AL19060727-changes.log,5,,,,,,,,,
AL19060803-changes.log,4,,,,,,,,,
AL19060831-changes.log,101,,,,,,,,,
AL19060907-changes.log,9,,,,,,,,,
AL19061130-changes.log,94,,,,,,,,,
AL19061207-changes.log,29,,,,,,,,,
AL19070308-changes.log,107,,,,,,,,,
AL19070315-changes.log,73,,,,,,,,,
AL19070503-changes.log,37,,,,,,,,,
AL19070517-changes.log,123,,,,,,,,,
AL19070607-changes.log,37,,,,,,,,,
AL19070705-changes.log,10,,,,,,,,,
AL19070719-changes.log,4,,,,,,,,,
AL19070726-changes.log,8,,,,,,,,,
AL19070913-changes.log,12,,,,,,,,,
AL19070920-changes.log,70,,,,,,,,,
AL19070927-changes.log,47,,,,,,,,,
AL19071004-changes.log,8,,,,,,,,,
AL19071011-changes.log,3,,,,,,,,,
AL19071025-changes.log,25,,,,,,,,,
AL19071213-changes.log,72,,,,,,,,,
AL19071220-changes.log,43,,,,,,,,,
AL19080131-changes.log,58,,,,,,,,,
AL19080207-changes.log,43,,,,,,,,,
AL19080313-changes.log,6,,,,,,,,,
AL19080410-changes.log,101,,,,,,,,,
AL19080417-changes.log,45,,,,,,,,,
AL19080515-changes.log,22,,,,,,,,,
AL19080522-changes.log,10,,,,,,,,,
AL19080605-changes.log,7,,,,,,,,,
AL19080710-changes.log,37,,,,,,,,,
AL19080807-changes.log,112,,,,,,,,,
AL19080814-changes.log,84,,,,,,,,,
AL19080911-changes.log,45,,,,,,,,,
AL19081009-changes.log,108,,,,,,,,,
AL19081016-changes.log,61,,,,,,,,,
AL19081023-changes.log,17,,,,,,,,,
AL19081106-changes.log,9,,,,,,,,,
AL19081204-changes.log,143,,,,,,,,,
AL19090122-changes.log,23,,,,,,,,,
AL19090129-changes.log,22,,,,,,,,,
AL19090305-changes.log,30,,,,,,,,,
AL19090312-changes.log,10,,,,,,,,,
AL19090319-changes.log,27,,,,,,,,,
AL19090514-changes.log,79,,,,,,,,,
AL19090521-changes.log,27,,,,,,,,,
AL19090528-changes.log,65,,,,,,,,,
AL19090820-changes.log,7,,,,,,,,,
AL19090827-changes.log,3,,,,,,,,,
AL19090917-changes.log,1,,,,,,,,,
AL19090924-changes.log,3,,,,,,,,,
AL19091022-changes.log,5,,,,,,,,,
AL19091203-changes.log,29,,,,,,,,,
AL19100114-changes.log,45,,,,,,,,,
AL19100128-changes.log,30,,,,,,,,,
AL19100211-changes.log,3,,,,,,,,,
AL19100325-changes.log,13,,,,,,,,,
AL19100422-changes.log,4,,,,,,,,,
AL19100513-changes.log,7,,,,,,,,,
AL19100527-changes.log,196,,,,,,,,,
AL19100624-changes.log,4,,,,,,,,,
AL19100729-changes.log,3,,,,,,,,,
AL19100909-changes.log,33,,,,,,,,,
AL19100916-changes.log,8,,,,,,,,,
AL19100923-changes.log,67,,,,,,,,,
AL19100930-changes.log,20,,,,,,,,,
AL19101021-changes.log,54,,,,,,,,,
AL19101104-changes.log,2,,,,,,,,,
AL19101125-changes.log,18,,,,,,,,,
AL19101202-changes.log,19,,,,,,,,,
AL19101209-changes.log,4,,,,,,,,,
AL19101223-changes.log,59,,,,,,,,,
AL19101230-changes.log,16,,,,,,,,,
